timestamp,temperature,acc_x,acc_y,acc_z,machine_status
2025-04-10 13:41:47,34.25,0.43,-7.65,-6.16,0
2025-04-10 13:41:47,34.25,0.47,-7.57,-6.28,0
2025-04-10 13:41:48,34.25,0.75,-7.73,-6.12,0
2025-04-10 13:41:48,34.25,0.2,-7.69,-6.12,0
2025-04-10 13:41:49,34.25,0.47,-7.77,-6.16,0
2025-04-10 13:41:49,34.25,0.35,-7.81,-6.16,0
2025-04-10 13:41:50,34.25,0.51,-7.77,-6.12,0
2025-04-10 13:41:51,34.25,0.35,-7.77,-6.12,0
2025-04-10 13:41:51,34.25,0.43,-7.77,-6.2,0
2025-04-10 13:41:52,34.25,0.39,-7.77,-6.16,0
2025-04-10 13:41:52,34.25,0.51,-7.73,-6.08,0
2025-04-10 13:41:53,34.25,0.63,-7.77,-6.2,0
2025-04-10 13:41:53,34.25,0.39,-7.69,-6.12,0
2025-04-10 13:41:54,34.25,0.47,-7.73,-6.08,0
2025-04-10 13:41:54,34.25,0.35,-7.88,-6.12,0
2025-04-10 13:41:55,34.25,0.35,-7.85,-6.08,0
2025-04-10 13:41:56,34.25,0.43,-7.81,-6.04,0
2025-04-10 13:41:56,34.25,0.43,-7.81,-6.08,0
2025-04-10 13:41:57,34.19,0.47,-7.81,-6.16,0
2025-04-10 13:41:57,34.19,0.43,-7.85,-6.12,0
2025-04-10 13:41:58,34.25,0.27,-7.92,-6.04,0
2025-04-10 13:41:58,34.25,0.55,-7.69,-6.0,0
2025-04-10 13:41:59,34.25,0.04,-8.12,-6.04,0
2025-04-10 13:41:59,34.25,0.35,-7.88,-6.0,0
2025-04-10 13:42:00,34.25,0.47,-7.73,-6.2,0
2025-04-10 13:42:00,34.25,0.27,-7.92,-6.0,0
2025-04-10 13:42:01,34.19,-0.59,-8.32,-5.96,0
2025-04-10 13:42:02,34.19,0.04,-7.73,-5.96,0
2025-04-10 13:42:02,34.25,0.67,-8.51,-5.73,0
2025-04-10 13:42:03,34.25,-0.35,-8.08,-6.2,0
2025-04-10 13:42:03,34.25,1.22,-7.57,-5.41,0
2025-04-10 13:42:04,34.25,0.43,-7.49,-5.77,0
2025-04-10 13:42:04,34.25,-0.24,-8.0,-5.81,0
2025-04-10 13:42:05,34.25,0.39,-8.94,-5.57,0
2025-04-10 13:42:05,34.25,0.27,-7.92,-5.96,0
2025-04-10 13:42:06,34.25,0.27,-7.88,-6.0,0
2025-04-10 13:42:07,34.25,0.27,-7.88,-6.04,0
2025-04-10 13:42:07,34.25,0.31,-7.81,-5.96,0
2025-04-10 13:42:08,34.25,0.27,-7.88,-6.0,0
2025-04-10 13:42:08,34.25,0.27,-7.92,-6.04,0
2025-04-10 13:42:09,34.25,0.24,-7.92,-6.0,0
2025-04-10 13:42:09,34.25,0.31,-7.85,-5.96,0
2025-04-10 13:42:10,34.25,0.27,-7.92,-6.0,0
2025-04-10 13:42:10,34.25,0.31,-7.88,-5.96,0
2025-04-10 13:42:11,34.31,0.35,-7.92,-5.96,0
2025-04-10 13:42:12,34.31,0.24,-7.88,-5.96,0
2025-04-10 13:42:12,34.25,0.27,-7.88,-6.0,0
2025-04-10 13:42:13,34.25,0.27,-7.92,-6.0,0
2025-04-10 13:42:13,34.31,0.24,-7.96,-6.0,0
2025-04-10 13:42:14,34.31,0.27,-7.85,-6.04,0
2025-04-10 13:42:14,34.25,0.27,-7.92,-6.0,0
2025-04-10 13:42:15,34.25,0.27,-7.96,-5.96,0
2025-04-10 13:42:15,34.25,0.24,-8.12,-6.0,0
2025-04-10 13:42:16,34.25,0.27,-7.88,-6.04,0
2025-04-10 13:42:17,34.25,0.31,-7.92,-6.0,0
2025-04-10 13:42:17,34.25,0.31,-7.85,-6.04,0
2025-04-10 13:42:18,34.25,0.24,-7.92,-5.92,0
2025-04-10 13:42:18,34.25,0.27,-7.88,-5.92,0
2025-04-10 13:42:19,34.25,0.24,-7.92,-6.0,0
2025-04-10 13:42:19,34.25,0.24,-7.92,-5.92,0
2025-04-10 13:42:20,34.25,0.27,-8.0,-5.92,0
2025-04-10 13:42:20,34.25,0.27,-7.92,-5.96,0
2025-04-10 13:42:21,34.25,0.24,-7.92,-5.96,0
2025-04-10 13:42:21,34.25,0.75,-7.85,-5.81,0
2025-04-10 13:42:22,34.25,0.27,-7.88,-6.04,0
2025-04-10 13:42:23,34.25,0.27,-7.88,-6.04,0
2025-04-10 13:42:23,34.25,0.27,-7.92,-6.0,0
2025-04-10 13:42:24,34.25,0.24,-8.04,-6.04,0
2025-04-10 13:42:24,34.25,0.27,-7.88,-5.96,0
2025-04-10 13:42:25,34.25,0.31,-7.92,-5.96,0
2025-04-10 13:42:25,34.25,0.27,-7.92,-6.04,0
2025-04-10 13:42:26,34.25,0.27,-7.88,-6.04,0
2025-04-10 13:42:26,34.25,0.27,-7.88,-6.0,0
2025-04-10 13:42:27,34.25,0.31,-7.88,-6.0,0
2025-04-10 13:42:28,34.25,0.27,-7.85,-6.0,0
2025-04-10 13:42:28,34.25,0.27,-7.92,-6.0,0
2025-04-10 13:42:29,34.25,0.24,-7.85,-5.96,0
2025-04-10 13:42:29,34.25,0.31,-7.88,-6.0,0
